areaType,areaName,areaCode,date,newAdmissions,cumAdmissions
nation,England,E92000001,2020/10/7,491,122496
nation,England,E92000001,2020/10/6,524,122005
nation,England,E92000001,2020/10/5,472,121481
nation,England,E92000001,2020/10/4,478,121009
nation,England,E92000001,2020/10/3,386,120531
nation,England,E92000001,2020/10/2,371,120145
nation,England,E92000001,2020/10/1,368,119774
nation,England,E92000001,2020/9/30,328,119406
nation,England,E92000001,2020/9/29,310,119078
nation,England,E92000001,2020/9/28,308,118768
nation,England,E92000001,2020/9/27,241,118460
nation,England,E92000001,2020/9/26,245,118219
nation,England,E92000001,2020/9/25,274,117974
nation,England,E92000001,2020/9/24,288,117700
nation,England,E92000001,2020/9/23,314,117412
nation,England,E92000001,2020/9/22,268,117098
nation,England,E92000001,2020/9/21,275,116830
nation,England,E92000001,2020/9/20,237,116555
nation,England,E92000001,2020/9/19,204,116318
nation,England,E92000001,2020/9/18,205,116114
nation,England,E92000001,2020/9/17,199,115909
nation,England,E92000001,2020/9/16,183,115710
nation,England,E92000001,2020/9/15,194,115527
nation,England,E92000001,2020/9/14,172,115333
nation,England,E92000001,2020/9/13,153,115161
nation,England,E92000001,2020/9/12,143,115008
nation,England,E92000001,2020/9/11,135,114865
nation,England,E92000001,2020/9/10,143,114730
nation,England,E92000001,2020/9/9,136,114587
nation,England,E92000001,2020/9/8,99,114451
nation,England,E92000001,2020/9/7,84,114352
nation,England,E92000001,2020/9/6,85,114268
nation,England,E92000001,2020/9/5,94,114183
nation,England,E92000001,2020/9/4,67,114089
nation,England,E92000001,2020/9/3,69,114022
nation,England,E92000001,2020/9/2,79,113953
nation,England,E92000001,2020/9/1,58,113874
nation,England,E92000001,2020/8/31,52,113816
nation,England,E92000001,2020/8/30,38,113764
nation,England,E92000001,2020/8/29,52,113726
nation,England,E92000001,2020/8/28,44,113674
nation,England,E92000001,2020/8/27,69,113630
nation,England,E92000001,2020/8/26,52,113561
nation,England,E92000001,2020/8/25,60,113509
nation,England,E92000001,2020/8/24,41,113449
nation,England,E92000001,2020/8/23,44,113408
nation,England,E92000001,2020/8/22,25,113364
nation,England,E92000001,2020/8/21,49,113339
nation,England,E92000001,2020/8/20,45,113290
nation,England,E92000001,2020/8/19,58,113245
nation,England,E92000001,2020/8/18,56,113187
nation,England,E92000001,2020/8/17,46,113131
nation,England,E92000001,2020/8/16,39,113085
nation,England,E92000001,2020/8/15,38,113046
nation,England,E92000001,2020/8/14,55,113008
nation,England,E92000001,2020/8/13,60,112953
nation,England,E92000001,2020/8/12,51,112893
nation,England,E92000001,2020/8/11,63,112842
nation,England,E92000001,2020/8/10,50,112779
nation,England,E92000001,2020/8/9,53,112729
nation,England,E92000001,2020/8/8,78,112676
nation,England,E92000001,2020/8/7,60,112598
nation,England,E92000001,2020/8/6,52,112538
nation,England,E92000001,2020/8/5,60,112486
nation,England,E92000001,2020/8/4,58,112426
nation,England,E92000001,2020/8/3,74,112368
nation,England,E92000001,2020/8/2,57,112294
nation,England,E92000001,2020/8/1,50,112237
nation,England,E92000001,2020/7/31,55,112187
nation,England,E92000001,2020/7/30,75,112132
nation,England,E92000001,2020/7/29,63,112057
nation,England,E92000001,2020/7/28,69,111994
nation,England,E92000001,2020/7/27,82,111925
nation,England,E92000001,2020/7/26,64,111843
nation,England,E92000001,2020/7/25,65,111779
nation,England,E92000001,2020/7/24,93,111714
nation,England,E92000001,2020/7/23,109,111621
nation,England,E92000001,2020/7/22,82,111512
nation,England,E92000001,2020/7/21,79,111430
nation,England,E92000001,2020/7/20,86,111351
nation,England,E92000001,2020/7/19,72,111265
nation,England,E92000001,2020/7/18,48,111193
nation,England,E92000001,2020/7/17,83,111145
nation,England,E92000001,2020/7/16,114,111062
nation,England,E92000001,2020/7/15,116,110948
nation,England,E92000001,2020/7/14,122,110832
nation,England,E92000001,2020/7/13,137,110710
nation,England,E92000001,2020/7/12,72,110573
nation,England,E92000001,2020/7/11,97,110501
nation,England,E92000001,2020/7/10,104,110404
nation,England,E92000001,2020/7/9,136,110300
nation,England,E92000001,2020/7/8,141,110164
nation,England,E92000001,2020/7/7,148,110023
nation,England,E92000001,2020/7/6,150,109875
nation,England,E92000001,2020/7/5,131,109725
nation,England,E92000001,2020/7/4,120,109594
nation,England,E92000001,2020/7/3,146,109474
nation,England,E92000001,2020/7/2,149,109328
nation,England,E92000001,2020/7/1,201,109179
nation,England,E92000001,2020/6/30,189,108978
nation,England,E92000001,2020/6/29,172,108789
nation,England,E92000001,2020/6/28,155,108617
nation,England,E92000001,2020/6/27,209,108462
nation,England,E92000001,2020/6/26,248,108253
nation,England,E92000001,2020/6/25,256,108005
nation,England,E92000001,2020/6/24,262,107749
nation,England,E92000001,2020/6/23,275,107487
nation,England,E92000001,2020/6/22,318,107212
nation,England,E92000001,2020/6/21,215,106894
nation,England,E92000001,2020/6/20,184,106679
nation,England,E92000001,2020/6/19,253,106495
nation,England,E92000001,2020/6/18,312,106242
nation,England,E92000001,2020/6/17,334,105930
nation,England,E92000001,2020/6/16,354,105596
nation,England,E92000001,2020/6/15,365,105242
nation,England,E92000001,2020/6/14,306,104877
nation,England,E92000001,2020/6/13,265,104571
nation,England,E92000001,2020/6/12,298,104306
nation,England,E92000001,2020/6/11,330,104008
nation,England,E92000001,2020/6/10,402,103678
nation,England,E92000001,2020/6/9,397,103276
nation,England,E92000001,2020/6/8,348,102879
nation,England,E92000001,2020/6/7,323,102531
nation,England,E92000001,2020/6/6,306,102208
nation,England,E92000001,2020/6/5,380,101902
nation,England,E92000001,2020/6/4,458,101522
nation,England,E92000001,2020/6/3,491,101064
nation,England,E92000001,2020/6/2,553,100573
nation,England,E92000001,2020/6/1,522,100020
nation,England,E92000001,2020/5/31,446,99498
nation,England,E92000001,2020/5/30,466,99052
nation,England,E92000001,2020/5/29,499,98586
nation,England,E92000001,2020/5/28,570,98087
nation,England,E92000001,2020/5/27,589,97517
nation,England,E92000001,2020/5/26,578,96928
nation,England,E92000001,2020/5/25,498,96350
nation,England,E92000001,2020/5/24,497,95852
nation,England,E92000001,2020/5/23,504,95355
nation,England,E92000001,2020/5/22,638,94851
nation,England,E92000001,2020/5/21,715,94213
nation,England,E92000001,2020/5/20,732,93498
nation,England,E92000001,2020/5/19,752,92766
nation,England,E92000001,2020/5/18,733,92014
nation,England,E92000001,2020/5/17,673,91281
nation,England,E92000001,2020/5/16,671,90608
nation,England,E92000001,2020/5/15,738,89937
nation,England,E92000001,2020/5/14,763,89199
nation,England,E92000001,2020/5/13,804,88436
nation,England,E92000001,2020/5/12,844,87632
nation,England,E92000001,2020/5/11,866,86788
nation,England,E92000001,2020/5/10,756,85922
nation,England,E92000001,2020/5/9,798,85166
nation,England,E92000001,2020/5/8,743,84368
nation,England,E92000001,2020/5/7,998,83625
nation,England,E92000001,2020/5/6,1040,82627
nation,England,E92000001,2020/5/5,959,81587
nation,England,E92000001,2020/5/4,1094,80628
nation,England,E92000001,2020/5/3,1077,79534
nation,England,E92000001,2020/5/2,980,78457
nation,England,E92000001,2020/5/1,1081,77477
nation,England,E92000001,2020/4/30,1227,76396
nation,England,E92000001,2020/4/29,1295,75169
nation,England,E92000001,2020/4/28,1296,73874
nation,England,E92000001,2020/4/27,1344,72578
nation,England,E92000001,2020/4/26,1208,71234
nation,England,E92000001,2020/4/25,1080,70026
nation,England,E92000001,2020/4/24,1277,68946
nation,England,E92000001,2020/4/23,1289,67669
nation,England,E92000001,2020/4/22,1310,66380
nation,England,E92000001,2020/4/21,1495,65070
nation,England,E92000001,2020/4/20,1522,63575
nation,England,E92000001,2020/4/19,1475,62053
nation,England,E92000001,2020/4/18,1411,60578
nation,England,E92000001,2020/4/17,1674,59167
nation,England,E92000001,2020/4/16,1777,57493
nation,England,E92000001,2020/4/15,1608,55716
nation,England,E92000001,2020/4/14,1859,54108
nation,England,E92000001,2020/4/13,1912,52249
nation,England,E92000001,2020/4/12,1791,50337
nation,England,E92000001,2020/4/11,1955,48546
nation,England,E92000001,2020/4/10,2196,46591
nation,England,E92000001,2020/4/9,2340,44395
nation,England,E92000001,2020/4/8,2619,42055
nation,England,E92000001,2020/4/7,2744,39436
nation,England,E92000001,2020/4/6,2679,36692
nation,England,E92000001,2020/4/5,2592,34013
nation,England,E92000001,2020/4/4,2593,31421
nation,England,E92000001,2020/4/3,2564,28828
nation,England,E92000001,2020/4/2,2932,26264
nation,England,E92000001,2020/4/1,3099,23332
nation,England,E92000001,2020/3/31,2447,20233
nation,England,E92000001,2020/3/30,2817,17786
nation,England,E92000001,2020/3/29,2186,14969
nation,England,E92000001,2020/3/28,1873,12783
nation,England,E92000001,2020/3/27,1931,10910
nation,England,E92000001,2020/3/26,1639,8979
nation,England,E92000001,2020/3/25,1755,7340
