areaType,areaName,areaCode,date,newAdmissions,cumAdmissions,movav,movAv
overview,United Kingdom,K02000001,2020/10/10,680,149548,,
overview,United Kingdom,K02000001,2020/10/9,663,148868,,
overview,United Kingdom,K02000001,2020/10/8,667,148205,,
overview,United Kingdom,K02000001,2020/10/7,654,147538,,
overview,United Kingdom,K02000001,2020/10/6,692,146884,,
overview,United Kingdom,K02000001,2020/10/5,602,146192,,
overview,United Kingdom,K02000001,2020/10/4,618,145590,653.7142857,147546.4286
overview,United Kingdom,K02000001,2020/10/3,521,144972,631,146892.7143
overview,United Kingdom,K02000001,2020/10/2,511,144451,609.2857143,146261.7143
overview,United Kingdom,K02000001,2020/10/1,502,143940,585.7142857,145652.4286
overview,United Kingdom,K02000001,2020/9/30,435,143438,554.4285714,145066.7143
overview,United Kingdom,K02000001,2020/9/29,430,143003,517,144512.2857
overview,United Kingdom,K02000001,2020/9/28,430,142573,492.4285714,143995.2857
overview,United Kingdom,K02000001,2020/9/27,333,142143,451.7142857,143502.8571
overview,United Kingdom,K02000001,2020/9/26,335,141810,425.1428571,143051.1429
overview,United Kingdom,K02000001,2020/9/25,369,141475,404.8571429,142626
overview,United Kingdom,K02000001,2020/9/24,414,141106,392.2857143,142221.1429
overview,United Kingdom,K02000001,2020/9/23,407,140692,388.2857143,141828.8571
overview,United Kingdom,K02000001,2020/9/22,345,140285,376.1428571,141440.5714
overview,United Kingdom,K02000001,2020/9/21,360,139940,366.1428571,141064.4286
overview,United Kingdom,K02000001,2020/9/20,281,139580,358.7142857,140698.2857
overview,United Kingdom,K02000001,2020/9/19,254,139299,347.1428571,140339.5714
overview,United Kingdom,K02000001,2020/9/18,255,139045,330.8571429,139992.4286
overview,United Kingdom,K02000001,2020/9/17,259,138790,308.7142857,139661.5714
overview,United Kingdom,K02000001,2020/9/16,271,138531,289.2857143,139352.8571
overview,United Kingdom,K02000001,2020/9/15,261,138260,277.2857143,139063.5714
overview,United Kingdom,K02000001,2020/9/14,247,137999,261.1428571,138786.2857
overview,United Kingdom,K02000001,2020/9/13,218,137752,252.1428571,138525.1429
overview,United Kingdom,K02000001,2020/9/12,211,137534,246,138273
overview,United Kingdom,K02000001,2020/9/11,222,137323,241.2857143,138027
overview,United Kingdom,K02000001,2020/9/10,212,137101,234.5714286,137785.7143
overview,United Kingdom,K02000001,2020/9/9,198,136889,224.1428571,137551.1429
overview,United Kingdom,K02000001,2020/9/8,179,136691,212.4285714,137327
overview,United Kingdom,K02000001,2020/9/7,138,136512,196.8571429,137114.5714
overview,United Kingdom,K02000001,2020/9/6,133,136374,184.7142857,136917.7143
overview,United Kingdom,K02000001,2020/9/5,126,136241,172.5714286,136733
overview,United Kingdom,K02000001,2020/9/4,149,136115,162.1428571,136560.4286
overview,United Kingdom,K02000001,2020/9/3,142,135966,152.1428571,136398.2857
overview,United Kingdom,K02000001,2020/9/2,143,135824,144.2857143,136246.1429
overview,United Kingdom,K02000001,2020/9/1,132,135681,137.5714286,136101.8571
overview,United Kingdom,K02000001,2020/8/31,90,135549,130.7142857,135964.2857
overview,United Kingdom,K02000001,2020/8/30,76,135459,122.5714286,135833.5714
overview,United Kingdom,K02000001,2020/8/29,108,135383,120,135711
overview,United Kingdom,K02000001,2020/8/28,137,135275,118.2857143,135591
overview,United Kingdom,K02000001,2020/8/27,146,135138,118.8571429,135472.7143
overview,United Kingdom,K02000001,2020/8/26,126,134992,116.4285714,135353.8571
overview,United Kingdom,K02000001,2020/8/25,117,134866,114.2857143,135237.4286
overview,United Kingdom,K02000001,2020/8/24,87,134749,113.8571429,135123.1429
