areaType,areaName,areaCode,date,newCasesByPublishDate,cumCasesByPublishDate,movav
overview,United Kingdom,K02000001,2020/10/9,13864,575679,
overview,United Kingdom,K02000001,2020/10/8,17540,561815,
overview,United Kingdom,K02000001,2020/10/7,14162,544275,
overview,United Kingdom,K02000001,2020/10/6,14542,530113,
overview,United Kingdom,K02000001,2020/10/5,12594,515571,
overview,United Kingdom,K02000001,2020/10/4,22961,502978,
overview,United Kingdom,K02000001,2020/10/3,12872,480017,15505
overview,United Kingdom,K02000001,2020/10/2,6968,467146,14519.85714
overview,United Kingdom,K02000001,2020/10/1,6914,460178,13001.85714
overview,United Kingdom,K02000001,2020/9/30,7108,453264,11994.14286
overview,United Kingdom,K02000001,2020/9/29,7143,446156,10937.14286
overview,United Kingdom,K02000001,2020/9/28,4044,439013,9715.714286
overview,United Kingdom,K02000001,2020/9/27,5693,434969,7248.857143
overview,United Kingdom,K02000001,2020/9/26,6042,429277,6273.142857
overview,United Kingdom,K02000001,2020/9/25,6874,423236,6259.714286
overview,United Kingdom,K02000001,2020/9/24,6634,416363,6219.714286
overview,United Kingdom,K02000001,2020/9/23,6178,409729,6086.857143
overview,United Kingdom,K02000001,2020/9/22,4926,403551,5770.142857
overview,United Kingdom,K02000001,2020/9/21,4368,398625,5816.428571
overview,United Kingdom,K02000001,2020/9/20,3899,394257,5560.142857
overview,United Kingdom,K02000001,2020/9/19,4422,390358,5328.714286
overview,United Kingdom,K02000001,2020/9/18,4322,385936,4964.142857
overview,United Kingdom,K02000001,2020/9/17,3395,381614,4501.428571
overview,United Kingdom,K02000001,2020/9/16,3991,378219,4189
overview,United Kingdom,K02000001,2020/9/15,3105,374228,3928.857143
overview,United Kingdom,K02000001,2020/9/14,2621,371125,3679.285714
overview,United Kingdom,K02000001,2020/9/13,3330,368504,3598
overview,United Kingdom,K02000001,2020/9/12,3497,365174,3465.857143
overview,United Kingdom,K02000001,2020/9/11,3539,361677,3354
overview,United Kingdom,K02000001,2020/9/10,2919,358138,3286
overview,United Kingdom,K02000001,2020/9/9,2659,355219,3095.714286
overview,United Kingdom,K02000001,2020/9/8,2460,352560,3003.571429
overview,United Kingdom,K02000001,2020/9/7,2948,350100,3050.285714
overview,United Kingdom,K02000001,2020/9/6,2988,347152,3001.428571
overview,United Kingdom,K02000001,2020/9/5,1813,344164,2760.857143
overview,United Kingdom,K02000001,2020/9/4,1940,342351,2532.428571
overview,United Kingdom,K02000001,2020/9/3,1735,340411,2363.285714
overview,United Kingdom,K02000001,2020/9/2,1508,338676,2198.857143
overview,United Kingdom,K02000001,2020/9/1,1295,337168,2032.428571
overview,United Kingdom,K02000001,2020/8/31,1406,335873,1812.142857
overview,United Kingdom,K02000001,2020/8/30,1715,334467,1630.285714
overview,United Kingdom,K02000001,2020/8/29,1108,332752,1529.571429
overview,United Kingdom,K02000001,2020/8/28,1276,331644,1434.714286
overview,United Kingdom,K02000001,2020/8/27,1522,330368,1404.285714
overview,United Kingdom,K02000001,2020/8/26,1048,328846,1338.571429
overview,United Kingdom,K02000001,2020/8/25,1184,327798,1322.714286
overview,United Kingdom,K02000001,2020/8/24,853,326614,1243.714286
overview,United Kingdom,K02000001,2020/8/23,1160,325761,1164.428571
overview,United Kingdom,K02000001,2020/8/22,1288,324601,1190.142857
overview,United Kingdom,K02000001,2020/8/21,1033,323313,1155.428571
overview,United Kingdom,K02000001,2020/8/20,1182,322280,1106.857143
overview,United Kingdom,K02000001,2020/8/19,812,321098,1073.142857
overview,United Kingdom,K02000001,2020/8/18,1089,320286,1059.571429
overview,United Kingdom,K02000001,2020/8/17,713,319197,1039.571429
overview,United Kingdom,K02000001,2020/8/16,1040,318484,1022.428571
overview,United Kingdom,K02000001,2020/8/15,1077,317444,992.2857143
overview,United Kingdom,K02000001,2020/8/14,1441,316367,1050.571429
overview,United Kingdom,K02000001,2020/8/13,1129,314927,1043
overview,United Kingdom,K02000001,2020/8/12,1009,313798,1071.142857
overview,United Kingdom,K02000001,2020/8/11,1148,312789,1079.571429
overview,United Kingdom,K02000001,2020/8/10,740,311641,1083.428571
overview,United Kingdom,K02000001,2020/8/9,1062,310825,1086.571429
overview,United Kingdom,K02000001,2020/8/8,758,309763,1041
overview,United Kingdom,K02000001,2020/8/7,871,309005,959.5714286
overview,United Kingdom,K02000001,2020/8/6,950,308134,934
overview,United Kingdom,K02000001,2020/8/5,892,307184,917.2857143
overview,United Kingdom,K02000001,2020/8/4,670,306293,849
overview,United Kingdom,K02000001,2020/8/3,898,305623,871.5714286
overview,United Kingdom,K02000001,2020/8/2,744,304685,826.1428571
overview,United Kingdom,K02000001,2020/8/1,761,303942,826.5714286
overview,United Kingdom,K02000001,2020/7/31,880,303181,827.8571429
overview,United Kingdom,K02000001,2020/7/30,846,302301,813
overview,United Kingdom,K02000001,2020/7/29,763,301455,794.5714286
overview,United Kingdom,K02000001,2020/7/28,581,300692,781.8571429
overview,United Kingdom,K02000001,2020/7/27,685,300111,751.4285714
overview,United Kingdom,K02000001,2020/7/26,745,299426,751.5714286
overview,United Kingdom,K02000001,2020/7/25,767,298681,752.4285714
overview,United Kingdom,K02000001,2020/7/24,768,297914,736.4285714
overview,United Kingdom,K02000001,2020/7/23,769,297146,725.4285714
overview,United Kingdom,K02000001,2020/7/22,560,296377,696.4285714
overview,United Kingdom,K02000001,2020/7/21,445,295817,677
overview,United Kingdom,K02000001,2020/7/20,557,295372,658.7142857
overview,United Kingdom,K02000001,2020/7/19,726,294792,656
overview,United Kingdom,K02000001,2020/7/18,827,294066,664.5714286
overview,United Kingdom,K02000001,2020/7/17,687,293239,653
overview,United Kingdom,K02000001,2020/7/16,642,292552,634.8571429
overview,United Kingdom,K02000001,2020/7/15,538,291911,631.7142857
overview,United Kingdom,K02000001,2020/7/14,398,291373,625
overview,United Kingdom,K02000001,2020/7/13,530,290133,621.1428571
overview,United Kingdom,K02000001,2020/7/12,650,289603,610.2857143
overview,United Kingdom,K02000001,2020/7/11,820,288953,609.2857143
overview,United Kingdom,K02000001,2020/7/10,512,288133,584.2857143
overview,United Kingdom,K02000001,2020/7/9,642,287621,584.2857143
overview,United Kingdom,K02000001,2020/7/8,630,286979,597.4285714
overview,United Kingdom,K02000001,2020/7/7,581,286349,623.5714286
overview,United Kingdom,K02000001,2020/7/6,343,285768,596.8571429
overview,United Kingdom,K02000001,2020/7/5,516,285416,577.7142857
overview,United Kingdom,K02000001,2020/7/4,624,284900,549.7142857
overview,United Kingdom,K02000001,2020/7/3,544,284276,554.2857143
overview,United Kingdom,K02000001,2020/7/2,576,283757,544.8571429
overview,United Kingdom,K02000001,2020/7/1,829,313483,573.2857143
overview,United Kingdom,K02000001,2020/6/30,689,312654,588.7142857
overview,United Kingdom,K02000001,2020/6/29,815,311965,656.1428571
overview,United Kingdom,K02000001,2020/6/28,901,311151,711.1428571
overview,United Kingdom,K02000001,2020/6/27,890,310250,749.1428571
overview,United Kingdom,K02000001,2020/6/26,1006,309360,815.1428571
overview,United Kingdom,K02000001,2020/6/25,1118,307980,892.5714286
overview,United Kingdom,K02000001,2020/6/24,653,306862,867.4285714
overview,United Kingdom,K02000001,2020/6/23,874,306210,893.8571429
overview,United Kingdom,K02000001,2020/6/22,958,305289,914.2857143
overview,United Kingdom,K02000001,2020/6/21,1221,304331,960
overview,United Kingdom,K02000001,2020/6/20,1295,303110,1017.857143
overview,United Kingdom,K02000001,2020/6/19,1346,301815,1066.428571
overview,United Kingdom,K02000001,2020/6/18,1218,300469,1080.714286
overview,United Kingdom,K02000001,2020/6/17,1115,299251,1146.714286
overview,United Kingdom,K02000001,2020/6/16,1279,298136,1204.571429
overview,United Kingdom,K02000001,2020/6/15,1056,296857,1218.571429
overview,United Kingdom,K02000001,2020/6/14,1514,295889,1260.428571
overview,United Kingdom,K02000001,2020/6/13,1425,294375,1279
overview,United Kingdom,K02000001,2020/6/12,1541,292950,1306.857143
overview,United Kingdom,K02000001,2020/6/11,1266,291409,1313.714286
overview,United Kingdom,K02000001,2020/6/10,1003,290143,1297.714286
overview,United Kingdom,K02000001,2020/6/9,1387,289140,1313.142857
overview,United Kingdom,K02000001,2020/6/8,1205,287399,1334.428571
overview,United Kingdom,K02000001,2020/6/7,1326,286194,1307.571429
overview,United Kingdom,K02000001,2020/6/6,1557,284868,1326.428571
overview,United Kingdom,K02000001,2020/6/5,1650,283311,1342
overview,United Kingdom,K02000001,2020/6/4,1805,281661,1419
overview,United Kingdom,K02000001,2020/6/3,1871,279856,1543
overview,United Kingdom,K02000001,2020/6/2,1613,277985,1575.285714
overview,United Kingdom,K02000001,2020/6/1,1570,276332,1627.428571
overview,United Kingdom,K02000001,2020/5/31,1936,274762,1714.571429
overview,United Kingdom,K02000001,2020/5/30,2445,272826,1841.428571
overview,United Kingdom,K02000001,2020/5/29,2095,271222,1905
overview,United Kingdom,K02000001,2020/5/28,1887,269127,1916.714286
overview,United Kingdom,K02000001,2020/5/27,2013,267240,1937
overview,United Kingdom,K02000001,2020/5/26,2004,265227,1992.857143
overview,United Kingdom,K02000001,2020/5/25,1625,261184,2000.714286
overview,United Kingdom,K02000001,2020/5/24,2409,259559,2068.285714
overview,United Kingdom,K02000001,2020/5/23,2959,257154,2141.714286
overview,United Kingdom,K02000001,2020/5/22,3287,254195,2312
overview,United Kingdom,K02000001,2020/5/21,2615,250908,2416
overview,United Kingdom,K02000001,2020/5/20,2472,248293,2481.571429
overview,United Kingdom,K02000001,2020/5/19,2412,248818,2539.857143
overview,United Kingdom,K02000001,2020/5/18,2684,246406,2691.142857
