areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate,movav,movAv
overview,United Kingdom,K02000001,2020/10/13,18,43155,,
overview,United Kingdom,K02000001,2020/10/12,74,43137,,
overview,United Kingdom,K02000001,2020/10/11,93,43063,,
overview,United Kingdom,K02000001,2020/10/10,79,42970,,
overview,United Kingdom,K02000001,2020/10/9,56,42891,,
overview,United Kingdom,K02000001,2020/10/8,83,42835,,
overview,United Kingdom,K02000001,2020/10/7,96,42752,71.28571429,42971.85714
overview,United Kingdom,K02000001,2020/10/6,65,42656,78,42900.57143
overview,United Kingdom,K02000001,2020/10/5,65,42591,76.71428571,42822.57143
overview,United Kingdom,K02000001,2020/10/4,55,42526,71.28571429,42745.85714
overview,United Kingdom,K02000001,2020/10/3,59,42471,68.42857143,42674.57143
overview,United Kingdom,K02000001,2020/10/2,69,42412,70.28571429,42606.14286
overview,United Kingdom,K02000001,2020/10/1,62,42343,67.28571429,42535.85714
overview,United Kingdom,K02000001,2020/9/30,57,42281,61.71428571,42468.57143
overview,United Kingdom,K02000001,2020/9/29,48,42224,59.28571429,42406.85714
overview,United Kingdom,K02000001,2020/9/28,54,42176,57.71428571,42347.57143
overview,United Kingdom,K02000001,2020/9/27,44,42122,56.14285714,42289.85714
overview,United Kingdom,K02000001,2020/9/26,39,42078,53.28571429,42233.71429
overview,United Kingdom,K02000001,2020/9/25,32,42039,48,42180.42857
overview,United Kingdom,K02000001,2020/9/24,34,42007,44,42132.42857
overview,United Kingdom,K02000001,2020/9/23,56,41973,43.85714286,42088.42857
overview,United Kingdom,K02000001,2020/9/22,38,41917,42.42857143,42044.57143
overview,United Kingdom,K02000001,2020/9/21,27,41879,38.57142857,42002.14286
overview,United Kingdom,K02000001,2020/9/20,31,41852,36.71428571,41963.57143
overview,United Kingdom,K02000001,2020/9/19,20,41821,34,41926.85714
overview,United Kingdom,K02000001,2020/9/18,23,41801,32.71428571,41892.85714
overview,United Kingdom,K02000001,2020/9/17,27,41778,31.71428571,41860.14286
overview,United Kingdom,K02000001,2020/9/16,26,41751,27.42857143,41828.42857
overview,United Kingdom,K02000001,2020/9/15,17,41725,24.42857143,41801
overview,United Kingdom,K02000001,2020/9/14,21,41708,23.57142857,41776.57143
overview,United Kingdom,K02000001,2020/9/13,16,41687,21.42857143,41753
overview,United Kingdom,K02000001,2020/9/12,18,41671,21.14285714,41731.57143
overview,United Kingdom,K02000001,2020/9/11,13,41653,19.71428571,41710.42857
overview,United Kingdom,K02000001,2020/9/10,13,41640,17.71428571,41690.71429
overview,United Kingdom,K02000001,2020/9/9,9,41627,15.28571429,41673
overview,United Kingdom,K02000001,2020/9/8,9,41618,14.14285714,41657.71429
overview,United Kingdom,K02000001,2020/9/7,15,41609,13.28571429,41643.57143
overview,United Kingdom,K02000001,2020/9/6,8,41594,12.14285714,41630.28571
overview,United Kingdom,K02000001,2020/9/5,13,41586,11.42857143,41618.14286
overview,United Kingdom,K02000001,2020/9/4,7,41573,10.57142857,41606.71429
overview,United Kingdom,K02000001,2020/9/3,10,41566,10.14285714,41596.14286
overview,United Kingdom,K02000001,2020/9/2,9,41556,10.14285714,41586
overview,United Kingdom,K02000001,2020/9/1,3,41547,9.285714286,41575.85714
overview,United Kingdom,K02000001,2020/8/31,8,41544,8.285714286,41566.57143
overview,United Kingdom,K02000001,2020/8/30,5,41536,7.857142857,41558.28571
overview,United Kingdom,K02000001,2020/8/29,5,41531,6.714285714,41550.42857
overview,United Kingdom,K02000001,2020/8/28,9,41526,7,41543.71429
overview,United Kingdom,K02000001,2020/8/27,8,41517,6.714285714,41536.71429
overview,United Kingdom,K02000001,2020/8/26,11,41509,7,41530
overview,United Kingdom,K02000001,2020/8/25,12,41498,8.285714286,41523
overview,United Kingdom,K02000001,2020/8/24,6,41486,8,41514.71429
overview,United Kingdom,K02000001,2020/8/23,14,41480,9.285714286,41506.71429
overview,United Kingdom,K02000001,2020/8/22,8,41466,9.714285714,41497.42857
overview,United Kingdom,K02000001,2020/8/21,7,41458,9.428571429,41487.71429
overview,United Kingdom,K02000001,2020/8/20,8,41451,9.428571429,41478.28571
overview,United Kingdom,K02000001,2020/8/19,3,41443,8.285714286,41468.85714
overview,United Kingdom,K02000001,2020/8/18,10,41440,8,41460.57143
overview,United Kingdom,K02000001,2020/8/17,12,41430,8.857142857,41452.57143
overview,United Kingdom,K02000001,2020/8/16,4,41418,7.428571429,41443.71429
overview,United Kingdom,K02000001,2020/8/15,12,41414,8,41436.28571
overview,United Kingdom,K02000001,2020/8/14,7,41402,8,41428.28571
overview,United Kingdom,K02000001,2020/8/13,9,41395,8.142857143,41420.28571
overview,United Kingdom,K02000001,2020/8/12,7,41386,8.714285714,41412.14286
overview,United Kingdom,K02000001,2020/8/11,10,41379,8.714285714,41403.42857
overview,United Kingdom,K02000001,2020/8/10,13,41369,8.857142857,41394.71429
overview,United Kingdom,K02000001,2020/8/9,8,41356,9.428571429,41385.85714
overview,United Kingdom,K02000001,2020/8/8,14,41348,9.714285714,41376.42857
overview,United Kingdom,K02000001,2020/8/7,12,41334,10.42857143,41366.71429
overview,United Kingdom,K02000001,2020/8/6,9,41322,10.42857143,41356.28571
overview,United Kingdom,K02000001,2020/8/5,6,41313,10.28571429,41345.85714
overview,United Kingdom,K02000001,2020/8/4,14,41307,10.85714286,41335.57143
overview,United Kingdom,K02000001,2020/8/3,15,41293,11.14285714,41324.71429
overview,United Kingdom,K02000001,2020/8/2,10,41278,11.42857143,41313.57143
overview,United Kingdom,K02000001,2020/8/1,11,41268,11,41302.14286
overview,United Kingdom,K02000001,2020/7/31,14,41257,11.28571429,41291.14286
overview,United Kingdom,K02000001,2020/7/30,10,41243,11.42857143,41279.85714
overview,United Kingdom,K02000001,2020/7/29,12,41233,12.28571429,41268.42857
overview,United Kingdom,K02000001,2020/7/28,12,41221,12,41256.14286
overview,United Kingdom,K02000001,2020/7/27,11,41209,11.42857143,41244.14286
overview,United Kingdom,K02000001,2020/7/26,16,41198,12.28571429,41232.71429
